original_response,predicted_response,similarity
"
<BehaviorTree>
<Selector>
<Sequence>
<Action>check_the_time</Action>
<Sequence>
<Condition>is_monday</Condition>
<Sequence>
<Action>read_email</Action>
<Action>reply_email</Action>
</Sequence>
</Sequence>
<Action>send_reminder</Action>
</Sequence>
</Selector>
</BehaviorTree>","<BehaviorTree>
    <Sequence>
        <Function>check_the_time</Function>
        <Selector>
            <Sequence>
                <Condition>is_monday</Condition>
                <Sequence>
                    <Action>read_email</Action>
                    <Action>reply_email</Action>
                </Sequence>
            </Sequence>
            <SubTree>
                <send_reminder/>
            </SubTree>
        </Selector>
    </Sequence>
</BehaviorTree>",0.8064516129032258
"
<BehaviorTree>
<Selector>
<Sequence>
<Action>detect_signs</Action>
<Action>process_signs</Action>
<Condition>is_target_reached</Condition>
<Action>move_forward</Action>
</Sequence>
<Sequence>
<Condition>is_obstacle_detected</Condition>
<Action>twist</Action>
<Action>move_forward</Action>
</Sequence>
</Selector>
</BehaviorTree>","<BehaviorTree>
    <Sequence>
        <Action>detect_signs</Action>
        <Action>process_signs</Action>
        <Selector>
            <Sequence>
                <Condition>is_obstacle_detected</Condition>
                <Action>twist</Action>
            </Sequence>
            <Action>move_forward</Action>
        </Selector>
    </Sequence>
</BehaviorTree>",0.7692307692307693
"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>is_agent_in_nest</Condition>
<Sequence>
<Condition>is_target_detected</Condition>
<Action>form_star</Action>
<Action>change_color_to_green</Action>
<Action>continue_movement_agent</Action>
</Sequence>
</Sequence>
<Sequence>
<Condition>is_obstacle_detected</Condition>
<Sequence>
<Action>avoid_obstacle</Action>
<Action>change_color_to_white</Action>
<Action>continue_movement_agent</Action>
</Sequence>
</Sequence>
<Action>wander</Action>
</Selector>
</BehaviorTree>","<BehaviorTree>
    <Sequence>
        <Action>change_color_to_white</Action>
        <Repeat>
            <Times>4</Times>
            <Sequence>
                <Action>change_color_to_green</Action>
                <Action>task_completed</Action>
            </Sequence>
            <Action>wander</Action>
        </Repeat>
        <Action>form_star</Action>
        <Sequence>
            <Condition>is_target_detected</Condition>
            <Action>change_color_to_white</Action>
            <Action>task_completed</Action>
        </Sequence>
    </Sequence>
</BehaviorTree>",0.5178571428571428
"
<BehaviorTree>
<Sequence>
<Selector>
<Sequence>
<Condition>is_at_resource</Condition>
<Action>collect_resource</Action>
</Sequence>
<Action>move_to_checkpoint</Action>
</Selector>
<Selector>
<Sequence>
<Condition>is_check_point_reached</Condition>
<Action>return_to_start</Action>
</Sequence>
<Action>move_to_checkpoint</Action>
</Selector>
</Sequence>
</BehaviorTree>","<BehaviorTree>
  <Sequence>
    <Repeat>
      <Times>4</Times>
      <Sequence>
        <Condition>is_at_resource</Condition>
        <Action>collect_resource</Action>
        <MoveToCheckpoint checkpointIndex=""5""/>
      </Sequence>
    </Repeat>
    <MoveToCheckpoint checkpointIndex=""1""/>
    <Action>return_to_start</Action>
  </Sequence>
</BehaviorTree>",0.547945205479452
"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>is_obstacle_detected</Condition>
<Action>change_speed</Action>
</Sequence>
<Sequence>
<Condition>is_speed_changed</Condition>
<Action>move_away_from_obstacle</Action>
</Sequence>
<Sequence>
<Condition>is_target_reached</Condition>
<Action>rotate_left</Action>
<Action>rotate_right</Action>
<Action>guard_area</Action>
</Sequence>
</Selector>
</BehaviorTree>","<BehaviorTree>
  <Sequence>
    <While>
      <Condition>is_obstacle_detected</Condition>
      <Sequence>
        <Condition>is_speed_changed</Condition>
        <Action>move_away_from_obstacle</Action>
        <Action>guard_area</Action>
      </Sequence>
      <Action>move_away_from_obstacle</Action>
      <Action>guard_area</Action>
    </While>
  </Sequence>
</BehaviorTree>",0.6823529411764706
"
<BehaviorTree>
<Sequence>
<Action>wander</Action>
<Condition>is_target_detected</Condition>
<Action>continue_movement_agent</Action>
<Condition>is_target_reached</Condition>
<Action>task_completed</Action>
</Sequence>
</BehaviorTree>","<BehaviorTree>
    <Sequence>
        <While>
            <Condition>is_target_detected</Condition>
            <Selector>
                <Sequence>
                    <Action>change_color_to_white</Action>
                    <Action>task_completed</Action>
                </Sequence>
                <Action>wander</Action>
            </Selector>
        </While>
        <Sequence>
            <Condition>is_target_reached</Condition>
            <Action>continue_movement_agent</Action>
        </Sequence>
    </Sequence>
</BehaviorTree>",0.5454545454545455
"
<BehaviorTree>
<Sequence>
<Selector>
<Condition>check_battery_level</Condition>
<Sequence>
<Condition>agent_is_on_path</Condition>
<Action>start_moving</Action>
</Sequence>
<Sequence>
<Condition>check_distance_to_destination</Condition>
<Action>stop_moving</Action>
</Sequence>
<Action>mount_outlet</Action>
<Action>charge_battery</Action>
</Selector>
</Sequence>
</BehaviorTree>","<BehaviorTree>
    <Sequence>
        <Sequence>
            <Condition>check_battery_level</Condition>
            <Branch>
                <Sequence>
                    <Condition>not(check_battery_level)</Condition>
                    <Action>start_moving</Action>
                </Sequence>
                <Sequence>
                    <Condition>check_battery_level and (not(check_distance_to_destination))</Condition>
                    <Action>charge_battery</Action>
                    <Action>mount_outlet</Action>
                    <Action>start_moving</Action>
                </Sequence>
            </Branch>
        </Sequence>
    </BehaviorTree>",0.6956521739130435
"
<BehaviorTree>
<Sequence>
<Selector>
<Condition>is_obstacle_detected</Condition>
<Action>change_formation</Action>
</Selector>
<Sequence>
<Selector>
<Condition>is_formation_changed</Condition>
<Action>form_circle</Action>
</Selector>
<Action>move_to_center</Action>
</Sequence>
<Action>detect_surroundings</Action>
</Sequence>
</BehaviorTree>","<BehaviorTree>
    <Sequence>
        <Parallel>
            <Sequence>
                <While>is_center_reached</While>
                    <Action>detect_surroundings</Action>
                    <Action>avoid_obstacle</Action>
            </Sequence>
            <Sequence>
                <While>is_formation_changed</While>
                    <Action>detect_surroundings</Action>
                    <Action>change_formation</Action>
            </Sequence>
            <Sequence>
                <Action>move_to_center</Action>
                <Action>form_circle</Action>
            </Sequence>
        </Parallel>
    </Sequence>
</BehaviorTree>",0.4761904761904763
"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>identify_threat</Condition>
<Action>avoid_threat</Action>
</Sequence>
<Sequence>
<Condition>is_leader_moving</Condition>
<Action>follow_leader</Action>
</Sequence>
</Selector>
</BehaviorTree>","<BehaviorTree>
    <Sequence>
        <Parallel>
            <Sequence>
                <Condition>root.identify_threat</Condition>
                <Selector>
                    <Sequence>
                        <Action>root.avoid_threat</Action>
                        <Action>root.scan_surroundings</Action>
                    </Sequence>
                    <Action>root.keep_distance</Action>
                </Selector>
            </Sequence>
            <Action>group_of_robots.follow_leader</Action>
        </Parallel>
    </Sequence>
</BehaviorTree>",0.5625
"
<BehaviorTree>
<Selector>
<Sequence>
<Action>fly_around</Action>
<Selector>
<Condition>is_obstacle_detected</Condition>
<Action>fly_around</Action>
</Selector>
<Selector>
<Condition>is_red_light_detected</Condition>
<Action>stop_movement</Action>
<Action>get_closer</Action>
</Selector>
</Sequence>
</Selector>
</BehaviorTree>","<BehaviorTree>
  <Sequence>
    <Parallel>
      <Action>fly_around</Action>
      <Sequence>
        <Condition>is_obstacle_detected</Condition>
        <Action>avoid_obstacle</Action>
      </Sequence>
    </Parallel>
    <Sequence>
      <Condition>is_red_light_detected</Condition>
      <Sequence>
        <Action>stop_movement</Action>
        <Action>get_closer</Action>
      </Sequence>
    </Sequence>
  </Sequence>
</BehaviorTree>",0.7631578947368421
"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>is_safe_to_proceed</Condition>
<Selector>
<Condition>locate_exit</Condition>
<Action>move_to_exit</Action>
</Selector>
</Sequence>
<Action>detect_hazard</Action>
<Action>avoid_collision</Action>
</Selector>
</BehaviorTree>","<BehaviorTree>
    <Sequence>
        <While>
            <Condition>not(locate_exit)</Condition>
            <Sequence>
                <While>
                    <Condition>not(is_safe_to_proceed)</Condition>
                    <Sequence>
                        <Action>detect_hazard</Action>
                        <Selector>
                            <Sequence>
                                <Action>avoid_collision</Action>
                                <Action>task_completed</Action>
                            </Sequence>
                            <Action>wait</Action>
                        </Selector>
                    </Sequence>
                </While>
            </Sequence>
        </While>
    </Sequence>
</BehaviorTree>",0.5135135135135135
"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>is_obstacle_ahead</Condition>
<Selector>
<Action>rotate_right</Action>
<Action>rotate_left</Action>
</Selector>
</Sequence>
<Sequence>
<Action>move_forward</Action>
<Condition>is_target_reached</Condition>
</Sequence>
</Selector>
</BehaviorTree>","<BehaviorTree>
        <Sequence>
            <Selector>
                <Sequence>
                    <Condition>is_target_detected</Condition>
                    <Action>change_color_to_white</Action>
                    <Action>task_completed</Action>
                </Sequence>
                <Action>wander</Action>
            </Selector>
            <Sequence>
                <Condition>is_agent_in_nest</Condition>
                <Action>change_color_to_green</Action>
            </Sequence>
        </Sequence>
    </BehaviorTree>",0.5
"
<BehaviorTree>
<Selector>
<Sequence>
<Action>observe_surroundings</Action>
</Sequence>
<Sequence>
<Selector>
<Sequence>
<Action>choose_best_path</Action>
<Action>detect_obstacles</Action>
</Sequence>
</Selector>
<Action>move_along_path</Action>
</Sequence>
</Selector>
</BehaviorTree>","<BehaviorTree>
    <Sequence>
        <Action>observe_surroundings</Action>
        <Subtree Name=""PathPlanning"">
            <Sequence>
                <Action>detect_obstacles</Action>
                <Selector>
                    <Sequence>
                        <Condition>not(detect_obstacles)</Condition>
                        <SubtreeRef>ChoosePath</SubtreeRef>
                        <Action>move_along_path</Action>
                    </Sequence>
                    <Action>choose_best_path</Action>
                </Selector>
        </Subtree>
    </Sequence>
</BehaviorTree>",0.5797101449275363
