Prompt,Error Count,Behavior Tree,Model Name,syntactic_correct,success
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector condition=""is_target_detected()"">
                    <Choice>
                        <Action node=""change_color_to_green()""/>
                        <Action node=""wander()"" />
                    </Choice>
                </Selector> 
                <Selector condition=""is_path_clear() and is_agent_in_nest()"">
                    <Sequence>
                        <Action node=""change_color_to_white""/>
                        <Action node=""continue_movement_agent()"" />
                    </Sequence> 
                </Selector>            
            </Sequence>
         </BehaviorTree>",orca-2-7b,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
            <Sequence>
                <Selector condition=""is_target_detected()"">
                    <Action name=""change_color_to_green()"" />
                    <Condition name=""task_completed()""/>
                    <Selector condition=""avoid_obstacle() && is_path_clear()"">
                        <Sequence>
                            <Action name=""continue_movement_agent()"" />
                            <Selector condition=""is_target_reached() || is_line_formed(center)"">
                                <Condition name=""change_color_to_white()"" />
                                <Selector condition=""task_completed() && is_agent_in_nest()"">
                                    <Action name=""wander()"" />
                                </Selector>
                            </Selector>
                        </Sequence>
                    </Selector>
                </Selector>
            </Sequence>
         </BehaviorTree>",orca-2-7b,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Condition>is_obstacle_detected</Condition>
                    <Action>avoid_obstacle</Action>
                    <Condition>is_target_reached</Condition>
                    <Action>change_color_to_green</Action>
                </Selector>
                <Sequence>
                    <Selector>
                        <Condition>not is_target_detected or not is_path_clear</Condition>
                        <Action>wander</Action>
                        <Condition>is_target_reached</Condition>
                        <Action>change_color_to_white</Action>
                    </Selector>
            </Sequence>
         </BehaviorTree>",orca-2-7b,False,False
Form a line and then change color to green.,0,"<BehaviorTree>
            <Sequence>
                <Selector condition=""is_target_detected()"">
                    <Action node=""change_color_to_green()"" />
                    <Condition node=""task_completed()"" />
                </Selector>
                <Selector condition=""not(is_path_clear()) and not(is_agent_in_nest())"">
                    <Sequence>
                        <Action node=""avoid_obstacle()"" />
                        <Condition node=""continue_movement_agent()"" />
                    </Sequence>
                </Selector>
            </Sequence>
         </BehaviorTree>",orca-2-7b,False,False
"change color to green, Form a line, and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector condition=""is_target_detected()"">
                    <Action change_color_to_green() />
                    <Condition is_path_clear() >
                        <Action form_line(true) />
                    </Condition>
                    <Action change_color_to_white() />
                </Selector>
            </Sequence>
         </BehaviorTree>",orca-2-7b,False,False
form vertical line,0,"<BehaviorTree>
            <Sequence>
                <Selector condition=""is_target_detected()"">
                    <Action change_color_to_green() />
                    <Condition is_path_clear(true) ><Condition is_agent_in_nest(false)> form_line() </Condition></Condition> 
                </Selector>
            </Sequence>
         </BehaviorTree>",orca-2-7b,False,False
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>wander</Action>
                </Selector>
                <Sequence>
                    <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                </Sequence>
            </Sequence>
        </BehaviorTree>",westlake-7b-v2,True,Tree
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
           <Sequence>
             <Selector>
               <Sequence>
                 <Condition>is_target_detected</Condition>
                 <Action>change_color_to_green</Action>
                 <Action>task_completed</Action>
               </Sequence>
               <Action>wander</Action>
             </Selector>
             <Sequence>
               <Condition>is_agent_in_nest</Condition>
               <Action>change_color_to_white</Action>
               <Action>agent_movement_freeze</Action>
             </Sequence>
           </Sequence>
         </BehaviorTree>",westlake-7b-v2,True,Tree
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Action>avoid_obstacle</Action>
                    <Sequence>
                        <Condition>is_agent_in_nest</Condition>
                        <Action>change_color_to_white</Action>
                    </Sequence>
                </Selector>
                <Sequence>
                    <Condition>is_obstacle_detected</Condition>
                    <Action>change_color_to_green</Action>
                </Sequence>
                <Sequence>
                    <Action>task_completed</Action>  
                    <Selector>
                        <Sequence>
                            <Condition>is_target_detected</Condition>
                            <Action>change_color_to_green</Action>
                            <Action>task_completed</Action>
                        </Sequence>
                        <Action>wander</Action>
                    </Selector>
                </Sequence>
            </Sequence>
        </BehaviorTree>",westlake-7b-v2,True,False
Form a line and then change color to green.,0,"<BehaviorTree>
           <Sequence>
             <Action>form_line</Action>
             <Selector>
               <Action>change_color_to_green</Action>
               <Action>wander</Action>
             </Selector>
           </Sequence>
        </BehaviorTree>",westlake-7b-v2,True,False
"change color to green, Form a line, and change color to white.",0,"<BehaviorTree>
           <Sequence>
             <Action>change_color_to_green</Action>
             <Action>form_line</Action>
             <Action>change_color_to_white</Action>
           </Sequence>
        </BehaviorTree>",westlake-7b-v2,True,False
form vertical line,0,"<BehaviorTree>
           <Sequence>
             <Action>form_line</Action>
             <Condition>is_line_formed</Condition>
           </Sequence>
         </BehaviorTree>",westlake-7b-v2,True,True
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Condition>is_target_detected</Condition>
                    <Action>change_color_to_green</Action>
                    <Action>task_completed</Action>
                </Selector>
                <Selector>
                    <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                </Selector>
            </Sequence>
        </BehaviorTree>",llama-2-7b-32k-instruct,True,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Condition>is_target_detected</Condition>
                    <Action>change_color_to_green</Action>
                    <Action>task_completed</Action>
                </Selector>
                <Selector>
                    <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                </Selector>
            </Sequence>
        </BehaviorTree>",llama-2-7b-32k-instruct,True,False
