Prompt,Error Count,Behavior Tree,Model Name,syntactic_correct,success
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector condition=""is_target_detected"">
                    <Action>change_color_to_green</Action>
                    <Selector condition=""is_target_reached"">
                        <Action>return home</Action>
                        <Selector condition=""is_path_clear"">
                            <Action>change_color_to_white</Action>
                        </Selector>
                    </Selector>
                </Selector>
            </Sequence>
        </BehaviorTree>",orca-2-7b,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
            <Sequence>
                <Selector condition=""is_target_detected"">
                    <Action>change_color_to_green</Action>
                    <Selector condition=""avoid_obstacle"">
                        <Action>continue_movement_agent</Action>
                        <Selector condition=""task_completed"">
                            <Action>wander</Action>
                        </Selector>
                    </Sequence>
                </Selector>
                <Selector condition=""is_target_reached"">
                    <Action>change_color_to_white</Action>
                    <Selector condition=""return_to_nest"">
                        <Action>form_line</ Action>
                    </Selector>
                </Selector>
            </Sequence>
        </BehaviorTree>",orca-2-7b,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Action>is_obstacle_detected</Action>
                <Condition>is_target_reached</Condition>
                <Selector>
                    <Sequence>
                        <Action>change_color_to_green</Action>
                        <Action>avoid_obstacle</Action>
                    </Sequence>
                    <Action>wander</Action>
                </Selector>
            </Sequence>
            <Condition>is_target_detected</Condition>
            <Selector>
                <Sequence>
                    <Action>change_color_to_white</Action>
                    <Action>form_line</ Action>
                </Sequence>
            </Selector>
        </BehaviorTree>",orca-2-7b,False,False
Form a line and then change color to green.,0,"<BehaviorTree>
            <Sequence>
                <Selector condition=""is_target_detected"">
                    <Action>change_color_to_green</Action>
                </Selector>
                <Selector condition=""form_line"">
                    <Action>avoid_obstacle</Action>
                    <Condition condition=""is_path_clear"" />
                    <Action>continue_movement_agent</Action>
                </Selector>
            </Sequence>
        </BehaviorTree>",orca-2-7b,False,False
"change color to green, Form a line, and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Action>change_color_to_green</Action>
                <Condition>is_target_detected</Condition>
                <Selector>
                    <Sequence>
                        <Action>form_line</Action>
                    </Sequence>
                </Selector>
            </Sequence>
            <Sequence>
                <Action>change_color_to_white</Action>
                <Condition>is_path_clear</Condition>
            </Sequence>
        </BehaviorTree>",orca-2-7b,False,False
form vertical line,0,"<BehaviorTree>
            <Sequence>
                <Selector condition=""is_target_detected"">
                    <Action>change_color_to_green</Action>
                </Selector>
                <Selector condition=""is_path_clear"">
                    <Action>avoid_obstacle</Action>
                </Selector>
            </Sequence>
        </BehaviorTree>",orca-2-7b,False,False
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
            <Sequence>
               <Selector>
                    <Sequence>
                        <Condition name=""is_target_detected""/>
                        <Sequence>
                            <Action name=""agent_movement_freeze""/>
                            <Sequence>
                                <Action name=""change_color_to_green""/>
                                <Selector>
                                    <Condition name=""is_target_reached""/>
                                    <Sequence/>
                                    <Action name=""task_completed""/>
                                </Selector>
                            </Sequence>
                        </Sequence>
                        <Sequence>
                            <Condition name=""continue_movement_agent""/>
                            <Action name=""wander""/>
                        </Sequence>
                    </Sequence>
                    <Action name=""form_line""/>
                </Selector>
                <Sequence>
                    <Action name=""change_color_to_white""/>
                </Sequence>
            </Sequence>
         </BehaviorTree>",westlake-7b-v2,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
            <Sequence>
               <Selector>
                    <Sequence>
                        <Condition>is_food_found</Condition>
                        <Action>approach_food</Action>
                    </Sequence>
                    <Action>change_color_to_green</Action>
                </Selector>
                <Sequence>
                    <Action>return_to_nest</Action>
                    <Selector>
                        <Condition>is_at_nest</Condition>
                        <Action>change_color_to_white</Action>
                        <Action>task_completed</Action>
                    </Selector>
                    <Action>freeze_movement</Action>
                </Sequence>
            </Sequence>
         </BehaviorTree>",westlake-7b-v2,True,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Condition name=""detect_obstacle"">is_obstacle_detected</Condition>
                <Selector>
                    <Sequence>
                        <Action name=""change_color_to_green"">change_color_to_green</Action>
                        <Sequence>
                            <Condition name=""path_clear"">is_path_clear</Condition>
                            <Action name=""continue_movement_agent"">continue_movement_agent</Action>
                        </Sequence>
                    </Sequence>
                    <Action name=""task_completed"" disableIfChildrenSucceeded=""True"">change_color_to_white</Action>
                </Selector>
            </Sequence>
        </BehaviorTree>",westlake-7b-v2,False,False
Form a line and then change color to green.,1,"<BehaviorTree>
           <Sequence>
             <Selector>
               <Sequence>
                 <Condition>{exp:""is_line_formed""}</Condition>
                 <Action>form_line</Action>
               </Sequence>
               <Action><![CDATA[]]/*>change_color_to_green:</*>/**</Action>
             </Selector>
           </Sequence>
         </BehaviorTree>",westlake-7b-v2,False,False
