Prompt,Error Count,Behavior Tree,Model Name,syntactic_correct,success
"Find the target and change color to green, then return home and change color to white.",1,"<BehaviorTree>
                 <is_target_detected distance=""20"" on=""returned"">
                     <subnodes>
                         <change_color_to_green />
                         <continue_movement_agent />
                         <avoid_obstacle />
                         <form_line />
                         <task_completed />
                     </subnodes>
                  </is_target_detected>
                 <return_home on=""True"">
                     <subnodes>
                         <change_color_to_white />2                     </subnodes>
                  </return_home>
             </BehaviorTree>",orca-2-7b,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",4,Could not generate proper XML.,orca-2-7b,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",4,Could not generate proper XML.,orca-2-7b,False,False
Form a line and then change color to green.,4,Could not generate proper XML.,orca-2-7b,False,False
"change color to green, Form a line, and change color to white.",4,Could not generate proper XML.,orca-2-7b,False,False
form vertical line,4,Could not generate proper XML.,orca-2-7b,False,False
"Find the target and change color to green, then return home and change color to white.",4,Could not generate proper XML.,westlake-7b-v2,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",4,Could not generate proper XML.,westlake-7b-v2,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",4,Could not generate proper XML.,westlake-7b-v2,False,False
Form a line and then change color to green.,4,Could not generate proper XML.,westlake-7b-v2,False,False
"change color to green, Form a line, and change color to white.",4,Could not generate proper XML.,westlake-7b-v2,False,False
form vertical line,4,Could not generate proper XML.,westlake-7b-v2,False,False
"Find the target and change color to green, then return home and change color to white.",2,"<BehaviorTree>
    <Start>
        <Action name=""FindTarget"">
            <Condition name=""IsAgentInNest"">True</Condition>
            <AvoidObstacle />
            <ChangeColorToGreen />
            <ContinueMovementAgent />
        </Action>
        <ReturnHome>
            <TaskCompleted />
            <ChangeColorToWhite />
        </ReturnHome>
    </Start>
</BehaviorTree>",llama-2-7b-32k-instruct,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",4,"<BehaviorTree>
    <Start>
        <Action node:FindFood/>
        <Condition node:IsTargetDetected distance_threshold=""5""/>
        <ChangeColorToGreen />
        <TaskCompleted />
        <ContinueMovementAgent />
        <FormLine />
        <AvoidObstacle />
    </Start>
</BehaviorTree>",llama-2-7b-32k-instruct,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",4,Could not generate proper XML.,llama-2-7b-32k-instruct,False,False
Form a line and then change color to green.,4,Could not generate proper XML.,llama-2-7b-32k-instruct,False,False
"change color to green, Form a line, and change color to white.",4,Could not generate proper XML.,llama-2-7b-32k-instruct,False,False
form vertical line,4,Could not generate proper XML.,llama-2-7b-32k-instruct,False,False
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
            <!-- Agent Movement Freeze -->
                <ActionNode id=""agent_movement_freeze"">
                    <Name>Freeze agent movement</Name>
                    <Returns>True</Returns>

                </ActionNode>

            <!-- Avoid Obstacle -->

                <ActionNode id=""avoid_obstacle"">

                    <Name>Avoid obstacles</Name>

                    <Returns>True</Returns>


            <!-- Change Color to Green -->


                <ActionNode id=""change_color_to_green"">

                    <Name>Change color to green</Name>

                    <Returns>True</Returns>


            <!-- Continue Movement Agent -->


                <ActionNode id=""continue_movement_agent"">


                    <Name>Continue agent movement</Name>


                </ActionNode>


            <!-- Form Line -->



                <ActionNode id=""form_line"">


                    <Name>Form line towards center</Name>


                </ActionNode>


            <!-- Is Agent in Nest? -->



                <ConditionNode id=""is_agent_in_nest"" returnType=""Boolean"">


                    <Name>Check if agent is in nest</Name>


                </ConditionNode>


            <!-- Is Line Formed? -->




<ConditionNode id=""is_line_formed"" returnType=""Boolean"">


                    <Name>Determine if line formed</Name>


                </ConditionNode>



            <!-- Is Obstacle Detected? -->




<ConditionNode id=""is_obstacle_detected"" returnType=""Boolean"">


                    <Name>Check for obstacles</Name>


                </ConditionNode>



            <!-- Is Path Clear? -->





<ConditionNode id=""is_path_clear"" returnType=""Boolean"">


                    <Name>Check if path ahead is clear</Name>


                </ConditionNode>



            <!-- Is Target Detected? -->





<ActionNode id=""is_target_detected"" returnType=""Boolean"">


                    <Name>Detect target</Name>



                </ActionNode>




            <!-- Task Completed -->





<ConditionNode id=""task_completed"" returnType=""Boolean"">


                    <Name>Check if task completed</Name>


                </ConditionNode>




        </BehaviorTree>",llama-2-7b-chat,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
            <Node id=""1"">
                <Name>Find food</Name>
                <Action>change_color_to_green</Action>
                <Condition>is_target_detected</Condition>
            </Node>

        <Node id=""2"">

                <Name>Return to nest</Name>

                <Action>change_color_to_white</Action>

                <Condition>is_agent_in_nest</Condition>
            </Node>

        <Node id=""3"">

                <Name>Freeze movement</Name>

                <Action>continue_movement_agent</Action>

                <Condition>task_completed</Condition>
            </Node>

    </BehaviorTree>",llama-2-7b-chat,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",2,"<BehaviorTree>
        <Node id=""1"">
          <Action id=""detect_obstacle"">is_obstacle_detected</Action>
          <Condition id=""2"">is_path_clear</Condition>
           <Action id=""change_color_to_green"">change_color_to_green</Action>
            <Node id=""3"">
             <Action id=""try_find_goal"">task_completed</Action>
              <Condition id=""4"">is_target_reached</Condition>
                  <Action id=""change_color_to_white"">change_color_to_white</Action>
        </Node>
    </BehaviorTree>",llama-2-7b-chat,False,False
Form a line and then change color to green.,4,"<BehaviorTree>
        <Node id=""1"">
          <Action id=""form_line"">
             <Condition id=""is_path_clear"">True</Condition>
           </Action>

        <Node id=""2"">

          <Action id=""change_color_to_green"">True</Action>

            <Condition id=""is_target_reached"">False</Condition>

        </Node>

    </BehaviorTree>",llama-2-7b-chat,False,False
"change color to green, Form a line, and change color to white.",4,Could not generate proper XML.,llama-2-7b-chat,False,False
form vertical line,4,Could not generate proper XML.,llama-2-7b-chat,False,False
"Find the target and change color to green, then return home and change color to white.",4,Could not generate proper XML.,phi-2,False,False
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",4,Could not generate proper XML.,phi-2,False,False
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",4,Could not generate proper XML.,phi-2,False,False
Form a line and then change color to green.,4,Could not generate proper XML.,phi-2,False,False
