Prompt,Error Count,Behavior Tree,Model Name
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Condition>is_target_detected</Condition>
                <Action>change_color_to_green</Action>
                <Condition>is_path_clear</Condition>
                <Action>continue_movement_agent</Condition>
                <Condition>is_nest_reached</Condition>
                <Action>change_color_to_white</Action>
            </Sequence>
         </BehaviorTree>",orca-2-7b
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
            <Sequence>
                <Condition>
                    <is_target_detected>True</is_target_detected>
                    <ChangeColorToGreen>True</ChangeColorToGreen>
                    <TaskCompleted>False</TaskCompleted>
                </Condition>
                <Action>
                    <Wander>True</Wander>
                    <ContinueMovementAgent>True</ContinueMovementAgent>
                </Action>
            </Sequence>
         </BehaviorTree>",orca-2-7b
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Condition>is_obstacle_detected</Condition>
                <Action>avoid_obstacle</Action>
                <Condition>change_color_to_green</Condition>
                <Condition>is_target_reached</Condition>
                <Action>task_completed</Action>
            </Sequence>
         </BehaviorTree>",orca-2-7b
Form a line and then change color to green.,0,"<BehaviorTree>
            <Sequence>
                <Condition is_line_formed=""is_line_formed()"">
                    <Action form_line() />
                </Condition>
                <Condition is_target_detected=""is_target_detected()"" and target_distance_less_than=""15"" >
                    <Action change_color_to_green() />
                    <Action task_completed() />
                </Condition>
            </Sequence>
         </BehaviorTree>",orca-2-7b
"change color to green, Form a line, and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Condition>is_target_detected</Condition>
                    <Action>change_color_to_green</Action>
                    <Action>form_line</Action>
                    <Action>change_color_to_white</Action>
                </Selector>
            </Sequence>
         </BehaviorTree>",orca-2-7b
form vertical line,0,"<BehaviorTree>
            <Sequence>
                <Condition>is_target_detected</Condition>
                <Action>change_color_to_green</Action>
                <Condition>form_line</Condition>
                    <Parallel>
                        <Action>continue_movement_agent</Action>
                        <Action>avoid_obstacle</Action>
                    </Parallel>
            </Sequence>
         </BehaviorTree>",orca-2-7b
"Find the target and change color to green, then return home and change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Sequence>
                        <Condition>is_target_detected</Condition>
                        <Action>change_color_to_green</Action>
                        <Action>task_completed</Action>
                    </Sequence>
                    <Action>wander</Action>
                </Selector>
                <Sequence>
                    <Condition>is_agent_in_nest</Condition>
                    <Action>change_color_to_white</Action>
                </Sequence>
            </Sequence>
        </BehaviorTree>",westlake-7b-v2
"Find food and change color to green, then return to the nest, change color to white, and freeze movement.",0,"<BehaviorTree>
           <Sequence>
             <Selector>
               <Sequence>
                 <Condition>is_target_detected</Condition>
                 <Action>change_color_to_green</Action>
                 <Action>task_completed</Action>
               </Sequence>
               <Action>wander</Action>
             </Selector>
             <Sequence>
               <Condition>is_agent_in_nest</Condition>
               <Action>change_color_to_white</Action>
               <Action>agent_movement_freeze</Action>
             </Sequence>
           </Sequence>
         </BehaviorTree>",westlake-7b-v2
"Detect an obstacle, change color to green, try to find the goal, then change color to white.",0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Action>avoid_obstacle</Action>
                    <Sequence>
                        <Condition>is_agent_in_nest</Condition>
                        <Action>change_color_to_white</Action>
                    </Sequence>
                </Selector>
                <Sequence>
                    <Condition>is_obstacle_detected</Condition>
                    <Action>change_color_to_green</Action>
                </Sequence>
                <Sequence>
                    <Action>wander</Action>
                    <Condition>is_target_reached</Condition>
                </Sequence>
            </Sequence>
        </BehaviorTree>",westlake-7b-v2
Form a line and then change color to green.,0,"<BehaviorTree>
            <Sequence>
                <Selector>
                    <Action>form_line</Action>
                    <Action>change_color_to_green</Action>
                </Selector>
                <Action>task_completed</Action>
            </Sequence>
        </BehaviorTree>",westlake-7b-v2
